query_id,query_variant,mode,rank,returned_title,returned_url_or_doi,justification,raw_response_path,matched_dataset_id,match_confidence,link_valid,is_relevant
1,V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,WEB_SEARCH,1,German General Social Survey – ALLBUS 1980,https://doi.org/10.4232/1.03534,ALLBUS is a core GESIS survey of political attitudes and behavior in Germany. The first wave is 1980 and includes numerous retrospective items and is frequently used in analyses of late‑1970s political attitudes in the Federal Republic of Germany.,output\metadata_websearch\logs\query_1_WEB_SEARCH.json,ZA5273,0.8351648351648352,False,0
1,V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,WEB_SEARCH,2,"Party Images and the Federal Parliament Election, 1976 (FRG)",https://doi.org/10.4232/1.0228,"Pre‑ and post‑election study of the 1976 Bundestag election in the Federal Republic of Germany. Focuses on political behaviour, party images, and voting; directly within the 1970s and Germany, matching elections and political behaviour.",output\metadata_websearch\logs\query_1_WEB_SEARCH.json,,0.0,False,0
1,V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,WEB_SEARCH,3,"Political Attitudes, Political Participation and Voter Conduct in the Federal Republic of Germany 1976",https://doi.org/10.4232/1.0229,"Survey centered on political attitudes, participation, and voting behaviour around the 1976 federal election in West Germany, clearly within the 1970s and focused on electoral behaviour and attitudes.",output\metadata_websearch\logs\query_1_WEB_SEARCH.json,ZA3222,0.8571428571428571,False,0
1,V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,WEB_SEARCH,4,"Political Attitudes, Political Participation and Voter Conduct in the Federal Republic of Germany 1972",https://doi.org/10.4232/1.0225,"Election study around the 1972 Bundestag election in West Germany; includes political attitudes, participation, and voting behaviour, fitting the requested topics and period.",output\metadata_websearch\logs\query_1_WEB_SEARCH.json,ZA3222,0.8571428571428571,False,0
1,V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,WEB_SEARCH,5,"Political Attitudes, Political Participation and Voter Conduct in the Federal Republic of Germany 1974",https://doi.org/10.4232/1.0227,"Study on political attitudes and voting behaviour in West Germany in 1974, directly addressing political behaviour and government/political system perceptions in the 1970s.",output\metadata_websearch\logs\query_1_WEB_SEARCH.json,ZA3222,0.8571428571428571,False,0
1,V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,WEB_SEARCH,6,"Political Attitudes, Political Participation and Voter Conduct in the Federal Republic of Germany 1978",https://doi.org/10.4232/1.0231,"Focuses on political attitudes and voter conduct in West Germany in 1978, a non‑election year but directly tied to political behaviour and assessments of the political system.",output\metadata_websearch\logs\query_1_WEB_SEARCH.json,ZA3222,0.8571428571428571,False,0
1,V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,WEB_SEARCH,7,German Federal Election 1976 – Pre‑Election Cross‑Section (ZA Study),https://www.gesis.org/en/services/data-analysis/data-service/data-archive,Within the GESIS election study series for the 1976 Bundestag election; includes individual‑level political attitudes and electoral behaviour in West Germany in the mid‑1970s. (Located via GESIS election study listings; exact ZA number refers to 1976 pre‑election cross‑section.),output\metadata_websearch\logs\query_1_WEB_SEARCH.json,,0.0,False,0
1,V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,WEB_SEARCH,8,German Federal Election 1972 – Post‑Election Study,https://www.gesis.org/en/services/data-analysis/data-service/data-archive,"Part of the GESIS Bundestag election series; investigates voter behaviour, turnout and political attitudes in West Germany directly after the 1972 federal election, aligning with elections and political attitudes in 1970s Germany.",output\metadata_websearch\logs\query_1_WEB_SEARCH.json,,0.0,False,0
1,V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,WEB_SEARCH,9,German Federal Election 1976 – Rolling Cross‑Section / Campaign Panel,https://www.gesis.org/en/services/data-analysis/data-service/data-archive,"A GESIS‑archived campaign study around the 1976 Bundestag election measuring political attitudes, campaign exposure and voting behaviour during the election campaign, squarely within 1970s Germany.",output\metadata_websearch\logs\query_1_WEB_SEARCH.json,,0.0,False,0
1,V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,WEB_SEARCH,10,"Political Attitudes, Political Participation and Voter Conduct in the Federal Republic of Germany 1970",https://doi.org/10.4232/1.0223,"Early‑1970 survey in West Germany measuring political attitudes, participation, and voter behaviour; directly addresses political behaviour and perceptions of the political system in the requested decade and country.",output\metadata_websearch\logs\query_1_WEB_SEARCH.json,ZA3222,0.8571428571428571,False,0
