provider;variant_short;query_id;query_variant;mode;model;rank;returned_title;returned_url_or_doi;matched_dataset_id;match_method;link_valid;title_matched_dataset_id;title_match_score;title_match_method;title_identifier_conflict;is_strict_source_dataset;is_source_dataset;is_title_source_dataset;is_strict_gesis_relevant_dataset;is_gesis_relevant_dataset;is_title_gesis_relevant_dataset;source_dataset_id
OpenAI;V1;1;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;1;European Values Study 2017: Integrated Dataset (EVS 2017);https://doi.org/10.4232/1.13511;ZA7500;doi;True;ZA7500;1.0;title_exact;0;1;1;1;1;1;1;ZA7500
OpenAI;V1;1;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;2;European Values Study / World Values Survey Joint EVS/WVS 2017-2022 Dataset;https://www.gesis.org/en/european-values-study/data-and-documentation/joint-evs/wvs-2017-2022-dataset;ZA7505;title_fuzzy;False;ZA7505;0.7948717948717949;title_fuzzy;0;0;0;0;0;1;1;ZA7500
OpenAI;V1;1;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;3;European Social Survey Data Portal;https://www.europeansocialsurvey.org/data-portal;ZA4512;title_fuzzy;False;ZA4512;0.7857142857142857;title_fuzzy;0;0;0;0;0;0;0;ZA7500
OpenAI;V1;1;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;4;International Social Survey Programme: Environment III - ISSP 2010;https://doi.org/10.4232/1.13271;ZA5500;doi;True;ZA5500;1.0;title_exact;0;0;0;0;0;0;0;ZA7500
OpenAI;V1;1;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;5;International Social Survey Programme: Family and Changing Gender Roles IV - ISSP 2012;https://doi.org/10.4232/1.12022;ZA5900;title_exact;False;ZA5900;1.0;title_exact;0;0;0;0;0;0;0;ZA7500
OpenAI;V1;1;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;6;International Social Survey Programme: National Identity III - ISSP 2013;https://doi.org/10.4232/1.12312;ZA5950;doi;True;ZA5950;1.0;title_exact;0;0;0;0;0;0;0;ZA7500
OpenAI;V1;1;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;7;International Social Survey Programme: Citizenship II - ISSP 2014;https://doi.org/10.4232/1.12590;ZA6670;doi;True;ZA6670;1.0;title_exact;0;0;0;0;0;0;0;ZA7500
OpenAI;V1;1;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;8;International Social Survey Programme: Work Orientations IV - ISSP 2015;https://doi.org/10.4232/1.12848;ZA6770;doi;True;ZA6770;1.0;title_exact;0;0;0;0;0;0;0;ZA7500
OpenAI;V1;1;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;9;International Social Survey Programme: Religion IV - ISSP 2018;https://doi.org/10.4232/1.13629;ZA7570;doi;True;ZA7570;1.0;title_exact;0;0;0;0;1;1;1;ZA7500
OpenAI;V1;1;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;10;International Social Survey Programme: Work Orientations I-IV Cumulation;https://doi.org/10.4232/1.14391;ZA8797;doi;True;ZA8797;1.0;title_exact;0;0;0;0;0;0;0;ZA7500
OpenAI;V1;1;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;11;International Social Survey Programme: National Identity I-III Cumulation;https://www.gesis.org/en/issp/data-and-documentation/national-identity/cumulation;ZA5961;title_fuzzy;False;ZA5961;0.9185185185185185;title_fuzzy;0;0;0;0;0;0;0;ZA7500
OpenAI;V1;2;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;1;European Social Survey (ESS), Round 10 (2020-2022);https://www.europeansocialsurvey.org/data-portal;ZA5145;title_fuzzy;False;ZA5145;0.7222222222222223;title_fuzzy;0;0;0;0;0;0;0;ZA9144
OpenAI;V1;2;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;2;European Social Survey (ESS), Round 11 (2023-2024);https://www.europeansocialsurvey.org/data-portal;ZA5145;title_fuzzy;False;ZA5145;0.7222222222222223;title_fuzzy;0;0;0;0;0;0;0;ZA9144
OpenAI;V1;2;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;3;European Social Survey CRONOS-2 Panel (2021-2023);https://www.europeansocialsurvey.org/methodology/methodological-research/modes-data-collection/cronos;ZA5145;title_fuzzy;False;ZA5145;0.7222222222222223;title_fuzzy;0;0;0;0;0;0;0;ZA9144
OpenAI;V1;2;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;4;European Values Study and World Values Survey: Joint EVS/WVS 2017-2022 Dataset, Version 5.0.0;https://doi.org/10.4232/1.14320;ZA7505;doi;True;ZA3781;0.711864406779661;title_fuzzy;1;0;0;0;0;0;0;ZA9144
OpenAI;V1;2;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;5;World Values Survey Wave 7 (2017-2022) Cross-National Dataset;https://doi.org/10.14281/18241.24;;unmatched;False;;0.0;unmatched;0;0;0;0;0;0;0;ZA9144
OpenAI;V1;2;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;6;Eurobarometer 93.1 (2020);https://doi.org/10.4232/1.13866;ZA7649;title_exact;False;ZA7649;1.0;title_exact;0;0;0;0;0;1;1;ZA9144
OpenAI;V1;2;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;7;Eurobarometer 94.3 (2021);https://doi.org/10.4232/1.13793;ZA7780;title_exact;False;ZA7780;1.0;title_exact;0;0;0;0;0;1;1;ZA9144
OpenAI;V1;2;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;8;Eurobarometer 95.3 (2021);https://doi.org/10.4232/1.13826;ZA7783;doi;True;ZA7783;1.0;title_exact;0;0;0;0;1;1;1;ZA9144
OpenAI;V1;2;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;9;Eurobarometer 96.3 (2022);https://doi.org/10.4232/1.13908;ZA7848;doi;True;ZA7848;1.0;title_exact;0;0;0;0;1;1;1;ZA9144
OpenAI;V1;2;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;10;Eurobarometer 97.5 (2022);https://doi.org/10.4232/1.14010;ZA7902;doi;True;ZA7902;1.0;title_exact;0;0;0;0;1;1;1;ZA9144
OpenAI;V1;2;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;11;Eurobarometer 99.4 (2023);https://doi.org/10.4232/1.14363;ZA8779;doi;True;ZA7997;1.0;title_exact;1;0;0;0;0;0;1;ZA9144
OpenAI;V1;2;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;12;Eurobarometer 102.2 (2024);https://doi.org/10.4232/1.14726;ZA8843;title_fuzzy;False;ZA8843;0.923076923076923;title_fuzzy;0;0;0;0;0;1;1;ZA9144
OpenAI;V1;2;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;13;Eurobarometer 101.5 (2024): European Parliament EU Post-Electoral Survey 2024;https://b2find.eudat.eu/dataset/d598d228-7aaa-5802-a152-61bfb503b999;ZA8900;title_fuzzy;False;ZA8900;0.8444444444444444;title_fuzzy;0;0;0;0;0;0;0;ZA9144
OpenAI;V1;2;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;14;Eurobarometer Data Service: Standard and Special Eurobarometer;https://www.gesis.org/en/eurobarometer-data-service/data-and-documentation/standard-special-eb;;unmatched;False;;0.0;unmatched;0;0;0;0;0;0;0;ZA9144
OpenAI;V1;2;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;15;V-Dem Dataset Archive;https://www.v-dem.net/data/dataset-archive/;;unmatched;False;;0.0;unmatched;0;0;0;0;0;0;0;ZA9144
OpenAI;V1;2;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;16;Worldwide Governance Indicators (WGI);https://datacatalog.worldbank.org/search/dataset/0038026/worldwide-governance-indicators;;unmatched;False;;0.0;unmatched;0;0;0;0;0;0;0;ZA9144
OpenAI;V1;2;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;17;World Development Indicators (WDI);https://datacatalog.worldbank.org/search/dataset/0037712/world-development-indicators;ZA4801;title_fuzzy;False;ZA4801;0.7857142857142857;title_fuzzy;0;0;0;0;0;0;0;ZA9144
OpenAI;V1;2;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;18;Eurostat Database;https://ec.europa.eu/eurostat/web/main/data/database;SDN-10.7802-2786;title_fuzzy;False;SDN-10.7802-2786;0.7272727272727272;title_fuzzy;0;0;0;0;0;0;0;ZA9144
OpenAI;V1;2;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;19;Eurostat Quarterly National Accounts: Main GDP Aggregates;https://doi.org/10.2908/NAMQ_10_GDP;;unmatched;False;;0.0;unmatched;0;0;0;0;0;0;0;ZA9144
OpenAI;V1;2;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;20;Uppsala Conflict Data Program (UCDP) Dataset Download Center;https://ucdp.uu.se/downloads/;;unmatched;False;;0.0;unmatched;0;0;0;0;0;0;0;ZA9144
OpenAI;V1;5;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;1;GENESIS-Online — German Federal Statistical Office;https://genesis.destatis.de/datenbank/online/statistics;;unmatched;False;;0.0;unmatched;0;0;0;0;0;0;0;ZA5665
OpenAI;V1;5;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;2;Socio-Economic Panel (SOEP-Core), data 1984–2020;https://doi.org/10.5684/soep.core.v37r;;unmatched;False;;0.0;unmatched;0;0;0;0;0;0;0;ZA5665
OpenAI;V1;5;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;3;ALLBUS/German General Social Survey 2018;https://doi.org/10.4232/1.13250;ZA5270;doi;True;ZA5270;0.7878787878787878;title_fuzzy;0;0;0;0;1;1;1;ZA5665
OpenAI;V1;5;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;4;ALLBUScompact 2023;https://doi.org/10.4232/1.14545;ZA8831;doi;True;ZA8831;1.0;title_exact;0;0;0;0;1;1;1;ZA5665
OpenAI;V1;5;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;5;GLES 2017 Post-election Cross Section;https://doi.org/10.4232/1.13235;ZA6801;doi;True;ZA6801;0.84375;title_fuzzy;0;0;0;0;1;1;1;ZA5665
OpenAI;V1;5;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;6;GLES Tracking January 2021 (T48);https://doi.org/10.4232/1.13727;ZA7705;doi;True;ZA7705;0.8253968253968255;title_fuzzy;0;0;0;0;0;0;0;ZA5665
OpenAI;V1;5;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;7;GLES Longterm Online Tracking T39;https://doi.org/10.4232/1.13989;ZA6823;doi;True;ZA6823;0.8985507246376812;title_fuzzy;0;0;0;0;0;0;0;ZA5665
OpenAI;V1;5;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;8;German Internet Panel, Wave 22 (March 2016);https://doi.org/10.4232/1.12842;ZA6754;doi;True;ZA6754;1.0;title_exact;0;0;0;0;1;1;1;ZA5665
OpenAI;V1;5;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;9;German Internet Panel, Wave 50 (November 2020);https://doi.org/10.4232/1.14323;ZA7647;doi;True;ZA7647;1.0;title_exact;0;0;0;0;1;1;1;ZA5665
OpenAI;V1;5;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;10;German Internet Panel, Wave 55 Core Study (September 2021);https://doi.org/10.4232/1.14324;ZA7763;doi;True;ZA7763;1.0;title_exact;0;0;0;0;1;1;1;ZA5665
OpenAI;V1;5;V1_TOPIC_COUNTRY_TIME_ALL_TOPICS;WEB_SEARCH;chat-latest;11;German Internet Panel, Wave 57 (January 2022);https://doi.org/10.4232/1.13946;ZA7877;doi;True;ZA7877;1.0;title_exact;0;0;0;0;1;1;1;ZA5665
