query_id;query_text;full_prompt_no_web;full_prompt_web_search;query_variant;query_topics;query_countries;query_time_collection_years;query_time_display;query_universe;query_analysis_units;abstract_generated_query;abstract_query_generator_model;abstract_source_hash;source_dataset_id;source_title;source_doi;source_portal_url;source_row
1;Can you find datasets about Political behaviour and attitudes in Germany during the 1970s?;"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets that match the query. Do not invent links; if unsure, omit the item.

USER: Query: Can you find datasets about Political behaviour and attitudes in Germany during the 1970s?
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets. Only include landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find datasets about Political behaviour and attitudes in Germany during the 1970s?
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC;"[""Political behaviour and attitudes""]";"[""Germany""]";"[""1971"", ""1972""]";1970s;;;;;;ZA0840;Federal Parliament Election 1972 (Panel: 2nd Wave, October 1971 - January 1972);"[""10.4232/1.0840""]";https://dbk.gesis.org/dbksearch/SDESC2.asp?no=0840&db=D;2
2;Can you find datasets about Government, political systems and organisations in Germany during the 1970s?;"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets that match the query. Do not invent links; if unsure, omit the item.

USER: Query: Can you find datasets about Government, political systems and organisations in Germany during the 1970s?
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets. Only include landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find datasets about Government, political systems and organisations in Germany during the 1970s?
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC;"[""Government, political systems and organisations""]";"[""Germany""]";"[""1971"", ""1972""]";1970s;;;;;;ZA0840;Federal Parliament Election 1972 (Panel: 2nd Wave, October 1971 - January 1972);"[""10.4232/1.0840""]";https://dbk.gesis.org/dbksearch/SDESC2.asp?no=0840&db=D;2
3;Can you find datasets about Elections in Germany during the 1970s?;"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets that match the query. Do not invent links; if unsure, omit the item.

USER: Query: Can you find datasets about Elections in Germany during the 1970s?
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets. Only include landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find datasets about Elections in Germany during the 1970s?
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC;"[""Elections""]";"[""Germany""]";"[""1971"", ""1972""]";1970s;;;;;;ZA0840;Federal Parliament Election 1972 (Panel: 2nd Wave, October 1971 - January 1972);"[""10.4232/1.0840""]";https://dbk.gesis.org/dbksearch/SDESC2.asp?no=0840&db=D;2
4;Can you find datasets about Compulsory and pre-school education in Hesse during the 1960s?;"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets that match the query. Do not invent links; if unsure, omit the item.

USER: Query: Can you find datasets about Compulsory and pre-school education in Hesse during the 1960s?
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets. Only include landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find datasets about Compulsory and pre-school education in Hesse during the 1960s?
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC;"[""Compulsory and pre-school education""]";"[""Hesse""]";"[""1969"", ""1969""]";1960s;;;;;;ZA0529;Political Socialization in Pre-School Age;"[""10.4232/1.0529""]";https://dbk.gesis.org/dbksearch/SDESC2.asp?no=0529&db=D;3
5;Can you find datasets about Children in Hesse during the 1960s?;"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets that match the query. Do not invent links; if unsure, omit the item.

USER: Query: Can you find datasets about Children in Hesse during the 1960s?
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets. Only include landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find datasets about Children in Hesse during the 1960s?
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC;"[""Children""]";"[""Hesse""]";"[""1969"", ""1969""]";1960s;;;;;;ZA0529;Political Socialization in Pre-School Age;"[""10.4232/1.0529""]";https://dbk.gesis.org/dbksearch/SDESC2.asp?no=0529&db=D;3
6;Can you find datasets about HISTORY in Germany, England, Sweden, and United States of America during the 1950s and 1960s and 1970s and 1980s and 1990s and 2000s?;"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets that match the query. Do not invent links; if unsure, omit the item.

USER: Query: Can you find datasets about HISTORY in Germany, England, Sweden, and United States of America during the 1950s and 1960s and 1970s and 1980s and 1990s and 2000s?
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets. Only include landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find datasets about HISTORY in Germany, England, Sweden, and United States of America during the 1950s and 1960s and 1970s and 1980s and 1990s and 2000s?
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC;"[""HISTORY""]";"[""Germany"", ""England"", ""Sweden"", ""United States of America""]";"[""1950"", ""2004""]";1950s and 1960s and 1970s and 1980s and 1990s and 2000s;;;;;;ZA8194;Social Change and Violent Crime;"[""10.4232/1.8194""]";https://dbk.gesis.org/dbksearch/SDESC2.asp?no=8194&db=D;4
7;Can you find datasets about Social conditions and indicators in Berlin during the 1950s?;"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets that match the query. Do not invent links; if unsure, omit the item.

USER: Query: Can you find datasets about Social conditions and indicators in Berlin during the 1950s?
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets. Only include landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find datasets about Social conditions and indicators in Berlin during the 1950s?
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC;"[""Social conditions and indicators""]";"[""Berlin""]";"[""1955"", ""1955""]";1950s;;;;;;ZA0590;Political Situation in West Berlin (Young People from the GDR);"[""10.4232/1.0590""]";https://dbk.gesis.org/dbksearch/SDESC2.asp?no=0590&db=D;6
8;Can you find datasets about Political behaviour and attitudes in Berlin during the 1950s?;"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets that match the query. Do not invent links; if unsure, omit the item.

USER: Query: Can you find datasets about Political behaviour and attitudes in Berlin during the 1950s?
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets. Only include landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find datasets about Political behaviour and attitudes in Berlin during the 1950s?
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC;"[""Political behaviour and attitudes""]";"[""Berlin""]";"[""1955"", ""1955""]";1950s;;;;;;ZA0590;Political Situation in West Berlin (Young People from the GDR);"[""10.4232/1.0590""]";https://dbk.gesis.org/dbksearch/SDESC2.asp?no=0590&db=D;6
9;Can you find datasets about Youth in Berlin during the 1950s?;"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets that match the query. Do not invent links; if unsure, omit the item.

USER: Query: Can you find datasets about Youth in Berlin during the 1950s?
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets. Only include landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find datasets about Youth in Berlin during the 1950s?
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC;"[""Youth""]";"[""Berlin""]";"[""1955"", ""1955""]";1950s;;;;;;ZA0590;Political Situation in West Berlin (Young People from the GDR);"[""10.4232/1.0590""]";https://dbk.gesis.org/dbksearch/SDESC2.asp?no=0590&db=D;6
10;Can you find datasets about Economic systems and development in Berlin during the 1950s?;"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets that match the query. Do not invent links; if unsure, omit the item.

USER: Query: Can you find datasets about Economic systems and development in Berlin during the 1950s?
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets. Only include landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find datasets about Economic systems and development in Berlin during the 1950s?
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC;"[""Economic systems and development""]";"[""Berlin""]";"[""1955"", ""1955""]";1950s;;;;;;ZA0590;Political Situation in West Berlin (Young People from the GDR);"[""10.4232/1.0590""]";https://dbk.gesis.org/dbksearch/SDESC2.asp?no=0590&db=D;6
