"query_id";"query_variant";"mode";"model";"rank";"returned_title";"returned_url_or_doi";"matched_dataset_id";"match_method";"link_valid";"source_dataset_id";"is_source_dataset";"is_strict_source_dataset";"is_title_source_dataset";"is_gesis_relevant_dataset";"is_strict_gesis_relevant_dataset";"is_title_gesis_relevant_dataset";"justification"
"1";"V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC";"WEB_SEARCH";"gemini-3.6-flash";"1";"Political Action: An Eight Nation Study, 1973-1976";"https://doi.org/10.3886/ICPSR07777.v1";"ZA0765";"title_fuzzy";"False";"ZA0840";"0";"0";"0";"0";"0";"0";"This cross-national study conducted between 1973 and 1976 includes personal interviews with respondents in West Germany, capturing data on conventional and unconventional political participation, protest attitudes, and ideological orientations."
"1";"V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC";"WEB_SEARCH";"gemini-3.6-flash";"2";"The Mannheim Eurobarometer Trend File, 1970-2002";"https://doi.org/10.3886/ICPSR04357.v1";"ZA3521";"title_fuzzy";"False";"ZA0840";"0";"0";"0";"1";"0";"1";"This cumulative dataset combines Eurobarometer survey series starting from the 1970s, measuring public opinion, political trust, voting intentions, and socio-political attitudes in West Germany and other EC member states."
"1";"V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC";"WEB_SEARCH";"gemini-3.6-flash";"3";"Political Action Panel Study, 1973-1981";"https://doi.org/10.3886/ICPSR09582.v1";"ZA1188";"title_fuzzy";"False";"ZA0840";"0";"0";"0";"0";"0";"0";"This multi-wave longitudinal study tracks political attitudes, government performance evaluations, political trust, and voting behavior in Germany (along with the Netherlands and US) from 1973 through 1981."
"2";"V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC";"WEB_SEARCH";"gemini-3.6-flash";"1";"Manifesto Project Main Dataset (MARPOR)";"https://doi.org/10.25522/manifesto.mpds.2025a";"";"unmatched";"False";"ZA0840";"0";"0";"0";"0";"0";"0";"Provides quantitative content-analysis data on policy positions and party platforms from political manifestos in West Germany, including all Bundestag election campaigns during the 1970s."
"2";"V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC";"WEB_SEARCH";"gemini-3.6-flash";"2";"Politbarometer 1977-2023 (Partielle Kumulation)";"https://doi.org/10.4232/1.14527";"ZA2391";"title_fuzzy";"False";"ZA0840";"0";"0";"0";"0";"0";"0";"Archived at GESIS, this dataset tracks longitudinal public opinion, political orientation, party preferences, and evaluations of government performance in West Germany starting in 1977."
"2";"V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC";"WEB_SEARCH";"gemini-3.6-flash";"3";"The Mannheim Eurobarometer Trend File, 1970-2002 (ICPSR 4357)";"https://doi.org/10.3886/ICPSR04357.v1";"ZA3521";"title_fuzzy";"False";"ZA0840";"0";"0";"0";"1";"0";"1";"Contains multi-decade cross-national trend data on public attitudes toward government institutions, political participation, and voter behaviour in West Germany starting from 1970."
"2";"V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC";"WEB_SEARCH";"gemini-3.6-flash";"4";"Parliaments and Governments Database (ParlGov)";"https://doi.org/10.7910/DVN/2VZ5ZC";"SDN-10.7802-2786";"title_fuzzy";"False";"ZA0840";"0";"0";"0";"0";"0";"0";"Provides institutional data on cabinet compositions, party affiliations, government duration, and parliamentary election outcomes in West Germany throughout the 1970s."
"3";"V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC";"WEB_SEARCH";"gemini-3.6-flash";"1";"GESIS Election Study 1972 (Wahlstudie 1972)";"https://doi.org/10.4232/1.12414";"ZA0635";"doi";"True";"ZA0840";"0";"0";"0";"1";"1";"1";"Survey dataset from the GESIS Data Archive containing pre-election and post-election panel survey data on voting behavior and political attitudes for the 1972 West German federal election."
"3";"V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC";"WEB_SEARCH";"gemini-3.6-flash";"2";"GESIS Election Study 1976 (Wahlstudie 1976)";"https://doi.org/10.4232/1.11982";"ZA0823";"doi";"True";"ZA0840";"0";"0";"0";"1";"1";"1";"Survey dataset from the GESIS Data Archive containing multi-wave panel survey data examining political choices and public opinion during the 1976 West German federal election."
"3";"V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC";"WEB_SEARCH";"gemini-3.6-flash";"3";"PSoGA: Sentence-level and manifesto-level social group appeals in party election manifestos across eight European democracies, 1970–2025";"https://doi.org/10.7910/DVN/FVI3QW";"";"unmatched";"False";"ZA0840";"0";"0";"0";"0";"0";"0";"Dataset hosted on Harvard Dataverse containing coded party election manifestos from 1970 to 2025 across eight European democracies, including German election campaign manifestos from the 1970s."
"4";"V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC";"WEB_SEARCH";"gemini-3.6-flash";"1";"Bildungsentwicklung in Deutschland: Allgemeinbildende Schulen 1960 bis 2000 (GESIS ZA8220)";"https://doi.org/10.4232/1.8220";"ZA8220";"doi";"True";"ZA0529";"0";"0";"0";"0";"0";"0";"This GESIS dataset (ZA8220) provides historical time-series data on general education across German federal states (including Hesse) from 1960 to 2000, covering compulsory schooling, primary education, and pre-school classes."
