"query_id";"query_variant";"mode";"model";"rank";"returned_title";"returned_url_or_doi";"matched_dataset_id";"match_method";"link_valid";"source_dataset_id";"is_source_dataset";"is_strict_source_dataset";"is_title_source_dataset";"is_gesis_relevant_dataset";"is_strict_gesis_relevant_dataset";"is_title_gesis_relevant_dataset";"justification"
"1";"V6_TOPIC_COUNTRY_TIME_ABSTRACT_NATURAL_LANGUAGE";"WEB_SEARCH";"gemini-3.6-flash";"1";"Political Action: An Eight Nation Study, 1973-1976";"https://doi.org/10.3886/ICPSR07777.v1";"ZA0765";"title_fuzzy";"False";"ZA0840";"0";"0";"0";"0";"0";"0";"Conducted between 1973 and 1976 across eight nations including West Germany, this dataset contains cross-sectional survey data and parent-child dyad data covering West German voting behavior, party preferences, political attitudes, satisfaction with democracy, subjective social class identity, family political socialization, economic expectations, and issue priorities regarding the environment, inflation, and protest."
"1";"V6_TOPIC_COUNTRY_TIME_ABSTRACT_NATURAL_LANGUAGE";"WEB_SEARCH";"gemini-3.6-flash";"2";"Politbarometer 1977-2019 (Partielle Kumulation)";"https://doi.org/10.4232/1.13631";"ZA2391";"title_fuzzy";"False";"ZA0840";"0";"0";"0";"0";"0";"0";"Initiated in 1977 by Forschungsgruppe Wahlen and archived at GESIS (ZA2391), this monthly time-series survey captures West German political attitudes, voting intentions, party preferences, evaluations of chancellor candidates and top politicians, economic expectations, and priorities on key political issues including inflation, environmental policy, and peace negotiations."
"1";"V6_TOPIC_COUNTRY_TIME_ABSTRACT_NATURAL_LANGUAGE";"WEB_SEARCH";"gemini-3.6-flash";"3";"European Communities Study 1970";"https://doi.org/10.4232/1.10851";"ZA0626";"doi";"True";"ZA0840";"0";"0";"0";"0";"0";"0";"Archived at GESIS (ZA0626), this 1970 survey measures West German public opinion, political attitudes toward democratic governance, party and political orientations, subjective social standing, economic expectations, and priorities on international affairs, defense, and peace policy at the beginning of the 1970s."
"2";"V6_TOPIC_COUNTRY_TIME_ABSTRACT_NATURAL_LANGUAGE";"WEB_SEARCH";"gemini-3.6-flash";"1";"Politische Sozialisation im Vorschulalter (ZA0529)";"https://doi.org/10.4232/1.0529";"ZA0529";"doi";"True";"ZA0529";"1";"1";"0";"1";"1";"0";"This dataset, created by Gertrud Beck at the University of Gießen (Hesse) in 1969, focuses on the role of authority in political socialization during preschool age. It features survey data from both preschool children and their parents, covering family authority structures, parents' child-rearing practices, attitudes toward authority and punishment, educational goals, perceptions of public authority figures, and demographic household characteristics."
"4";"V6_TOPIC_COUNTRY_TIME_ABSTRACT_NATURAL_LANGUAGE";"WEB_SEARCH";"gemini-3.6-flash";"1";"Berliner Wahlen von 1930-1963";"https://doi.org/10.4232/1.8081";"ZA8081";"doi";"True";"ZA0590";"0";"0";"0";"0";"0";"0";"Compiled by Wolfram Schulz and Harold Hurwitz (FU Berlin) and archived at GESIS (ZA8081), this dataset contains election results and census indicators for Berlin districts from 1930 to 1963. It includes detailed 1950s data on political preferences, voting behavior, population demographics, age distribution, employment, and housing conditions in postwar West Berlin."
"4";"V6_TOPIC_COUNTRY_TIME_ABSTRACT_NATURAL_LANGUAGE";"WEB_SEARCH";"gemini-3.6-flash";"2";"Civic Culture Study, 1959-1960";"https://doi.org/10.3886/icpsr07201.v2";"ZA0624";"title_fuzzy";"False";"ZA0590";"0";"0";"0";"0";"0";"0";"Conducted by Gabriel Almond and Sidney Verba and distributed by ICPSR, this foundational survey includes respondents from West Germany (including West Berlin) in the late 1950s. It captures post-war political behavior and attitudes, opinions on government institutions, economic recovery, rearmament, civic engagement, and comparisons between political systems."
"5";"V6_TOPIC_COUNTRY_TIME_ABSTRACT_NATURAL_LANGUAGE";"WEB_SEARCH";"gemini-3.6-flash";"1";"ALLBUS/GGSS 2018 (German General Social Survey 2018)";"https://doi.org/10.4232/1.13250";"ZA5270";"doi";"True";"ZA6621";"0";"0";"0";"1";"1";"1";"This biennial survey contains representative data on the German population's political attitudes, trust in democratic institutions, political participation, media consumption, and general opinions on Germany's political situation in 2018."
"5";"V6_TOPIC_COUNTRY_TIME_ABSTRACT_NATURAL_LANGUAGE";"WEB_SEARCH";"gemini-3.6-flash";"2";"German Longitudinal Election Study (GLES) 2017 - Post-election Cross-Section";"https://doi.org/10.4232/1.13235";"ZA6801";"doi";"True";"ZA6621";"0";"0";"0";"0";"0";"0";"Part of the GLES project for the 2017 German federal election, this dataset covers opinions on political parties, candidates, trust in democracy, media consumption during the campaign, and voter behavior."
"5";"V6_TOPIC_COUNTRY_TIME_ABSTRACT_NATURAL_LANGUAGE";"WEB_SEARCH";"gemini-3.6-flash";"3";"Politbarometer 2015 (Kumulierter Datensatz)";"https://doi.org/10.4232/1.12649";"ZA6700";"doi";"True";"ZA6621";"0";"0";"0";"1";"1";"1";"A cumulated dataset of monthly survey waves conducted in 2015 that measures public opinion in Germany regarding government performance, trust in politics, evaluations of parties and top politicians, and political attitudes."
"5";"V6_TOPIC_COUNTRY_TIME_ABSTRACT_NATURAL_LANGUAGE";"WEB_SEARCH";"gemini-3.6-flash";"4";"German Longitudinal Election Study (GLES) 2017 - Short-term Campaign Panel";"https://doi.org/10.4232/1.13323";"ZA6804";"doi";"True";"ZA6621";"0";"0";"0";"1";"1";"1";"A multi-wave panel survey collected during the 2017 election campaign in Germany, capturing dynamic changes in political media usage, party/politician ratings, political participation, and views on the German political system."
"6";"V6_TOPIC_COUNTRY_TIME_ABSTRACT_NATURAL_LANGUAGE";"WEB_SEARCH";"gemini-3.6-flash";"1";"Sofortresonanzen DDR Fernsehen 16. Woche 1987 (SFR 16/87)";"https://doi.org/10.4232/1.10515";"ZA7274";"doi";"True";"ZA7315";"0";"0";"0";"0";"0";"0";"Conducted by the GDR's Staatliches Komitee für Fernsehen (Sociological Research Department) in 1987, this dataset measures audience participation, TV viewing behavior, evaluation of TV moderators, program realism/plot ratings, overall impressions, and respondent demographics."
"6";"V6_TOPIC_COUNTRY_TIME_ABSTRACT_NATURAL_LANGUAGE";"WEB_SEARCH";"gemini-3.6-flash";"2";"Sofortresonanzen DDR Fernsehen 17. Woche 1985 (SFR 17/85)";"https://doi.org/10.4232/1.7170";"ZA7170";"doi";"True";"ZA7315";"0";"0";"0";"0";"0";"0";"Part of the GESIS dataset collection 'Watching Television in the GDR (1982-1990)', this weekly survey collects GDR television audience participation numbers, program ratings, evaluation of specific show components, and detailed viewer demographics."
"6";"V6_TOPIC_COUNTRY_TIME_ABSTRACT_NATURAL_LANGUAGE";"WEB_SEARCH";"gemini-3.6-flash";"3";"Sofortresonanzen DDR Fernsehen 12. Woche 1986 (SFR 12/86)";"https://doi.org/10.4232/1.10458";"ZA7217";"doi";"True";"ZA7315";"0";"0";"0";"0";"0";"0";"This 1986 dataset records GDR viewer participation and evaluation of specific programs and series (e.g., Der schwarze Kanal, Asse im Spiel), assessing entertainment value, format realism, viewer satisfaction, and demographic background."
"7";"V6_TOPIC_COUNTRY_TIME_ABSTRACT_NATURAL_LANGUAGE";"WEB_SEARCH";"gemini-3.6-flash";"1";"Second European Survey of Enterprises on New and Emerging Risks, 2014 (ESENER-2)";"https://doi.org/10.5255/UKDA-SN-7808-1";"ZA6865";"title_fuzzy";"False";"ZA6865";"1";"0";"1";"1";"0";"1";"Conducted in 2014 across 36 European countries (including EU Member States and non-EU countries in the prompt), this establishment-level survey captures responses from safety and health management representatives across public and private workplaces on occupational safety and health management, psychosocial risk factors (work-related stress, violence, harassment), musculoskeletal risks, risk assessment practices, worker participation, and organizational drivers and barriers."
