query_id,query_variant,mode,rank,returned_title,returned_url_or_doi,justification,raw_response_path,matched_dataset_id,match_confidence,link_valid,is_relevant
1,V1_TOPIC,WEB_SEARCH,1,Eurobarometer (Series) – GESIS Data Catalogue,,,logs\query_1_WEB_SEARCH.json,,0.0,False,0
1,V1_TOPIC,WEB_SEARCH,2,German General Social Survey (ALLBUS) – Series,,,logs\query_1_WEB_SEARCH.json,ZA5273,0.7567567567567568,False,1
1,V1_TOPIC,WEB_SEARCH,3,Politbarometer – Series,,,logs\query_1_WEB_SEARCH.json,ZA2546,0.7567567567567568,False,1
1,V1_TOPIC,WEB_SEARCH,4,German Longitudinal Election Study (GLES) – Series,,,logs\query_1_WEB_SEARCH.json,,0.0,False,0
1,V1_TOPIC,WEB_SEARCH,5,International Social Survey Programme (ISSP) – Series,,,logs\query_1_WEB_SEARCH.json,ZA3680,0.7218045112781956,False,1
1,V1_TOPIC,WEB_SEARCH,6,European Values Study (EVS) – Series,,,logs\query_1_WEB_SEARCH.json,ZA3777,0.736842105263158,False,1
2,V1_TOPIC,NO_WEB,1,Politbarometer (Germany) Time Series,,,logs\query_2_NO_WEB.json,,0.0,False,0
2,V1_TOPIC,NO_WEB,2,German Longitudinal Election Study (GLES),,,logs\query_2_NO_WEB.json,,0.0,False,0
2,V1_TOPIC,NO_WEB,3,Eurobarometer Surveys (Standard and Special),,,logs\query_2_NO_WEB.json,,0.0,False,0
2,V1_TOPIC,NO_WEB,4,Manifesto Project (MARPOR) Dataset,,,logs\query_2_NO_WEB.json,,0.0,False,0
2,V1_TOPIC,NO_WEB,5,ALLBUS – German General Social Survey,,,logs\query_2_NO_WEB.json,ZA5273,0.8615384615384616,False,1
2,V1_TOPIC,NO_WEB,6,International Social Survey Programme (ISSP) – Role of Government,,,logs\query_2_NO_WEB.json,,0.0,False,0
2,V1_TOPIC,NO_WEB,7,International Social Survey Programme (ISSP) – Citizenship,,,logs\query_2_NO_WEB.json,ZA5520,0.7246376811594203,False,0
2,V1_TOPIC,NO_WEB,8,European Values Study (EVS) Integrated Dataset,,,logs\query_2_NO_WEB.json,,0.0,False,0
2,V1_TOPIC,NO_WEB,9,German Candidate Study (GLES),,,logs\query_2_NO_WEB.json,,0.0,False,0
2,V1_TOPIC,NO_WEB,10,GLES Rolling Cross-Section (Germany),,,logs\query_2_NO_WEB.json,,0.0,False,0
7,V1_TOPIC,NO_WEB,1,German Family Panel (pairfam),,,logs\query_7_NO_WEB.json,,0.0,False,0
7,V1_TOPIC,NO_WEB,2,ALLBUS (German General Social Survey),,,logs\query_7_NO_WEB.json,,0.0,False,0
7,V1_TOPIC,NO_WEB,3,Eurobarometer – Public Health and HIV/AIDS modules (GESIS Eurobarometer Archive),,,logs\query_7_NO_WEB.json,,0.0,False,0
7,V1_TOPIC,NO_WEB,4,Population Policy Acceptance Survey (PPAS),,,logs\query_7_NO_WEB.json,,0.0,False,0
7,V1_TOPIC,NO_WEB,5,DJI Family Survey (German Youth Institute),,,logs\query_7_NO_WEB.json,,0.0,False,0
7,V1_TOPIC,NO_WEB,6,ISSP – Family and Changing Gender Roles,,,logs\query_7_NO_WEB.json,,0.0,False,0
7,V1_TOPIC,NO_WEB,7,ISSP – Health and Health Care,,,logs\query_7_NO_WEB.json,,0.0,False,0
7,V1_TOPIC,NO_WEB,8,European Values Study (EVS) – Germany,,,logs\query_7_NO_WEB.json,ZA3777,0.7241379310344829,False,1
16,V1_TOPIC,NO_WEB,1,ALLBUS – German General Social Survey (GGSS),,,logs\query_16_NO_WEB.json,ZA5273,0.7777777777777777,False,1
16,V1_TOPIC,NO_WEB,2,German Longitudinal Election Study (GLES),,,logs\query_16_NO_WEB.json,,0.0,False,0
16,V1_TOPIC,NO_WEB,3,Politbarometer (Germany) – Trend Surveys,,,logs\query_16_NO_WEB.json,,0.0,False,0
16,V1_TOPIC,NO_WEB,4,International Social Survey Programme (ISSP) – Role of Government modules,,,logs\query_16_NO_WEB.json,,0.0,False,0
16,V1_TOPIC,NO_WEB,5,Eurobarometer – Standard Series,,,logs\query_16_NO_WEB.json,,0.0,False,0
16,V1_TOPIC,NO_WEB,6,European Values Study (EVS),,,logs\query_16_NO_WEB.json,ZA3777,0.875,False,1
16,V1_TOPIC,NO_WEB,7,ISSP – Citizenship,,,logs\query_16_NO_WEB.json,,0.0,False,0
16,V1_TOPIC,NO_WEB,8,ISSP – National Identity,,,logs\query_16_NO_WEB.json,ZA5517,0.9565217391304348,False,0
21,V1_TOPIC,NO_WEB,1,International Social Survey Programme: Work Orientations IV (ISSP 2015),,,logs\query_21_NO_WEB.json,ZA5520,0.9076923076923077,False,0
21,V1_TOPIC,NO_WEB,2,International Social Survey Programme: Leisure Time and Sports (ISSP 2007),,,logs\query_21_NO_WEB.json,ZA3680,0.7662337662337663,False,1
21,V1_TOPIC,NO_WEB,3,International Social Survey Programme: Health and Health Care (ISSP 2011),,,logs\query_21_NO_WEB.json,ZA3680,0.7777777777777777,False,1
21,V1_TOPIC,NO_WEB,4,International Social Survey Programme: Family and Changing Gender Roles IV (ISSP 2012),,,logs\query_21_NO_WEB.json,,0.0,False,0
21,V1_TOPIC,NO_WEB,5,International Social Survey Programme: Family and Changing Gender Roles III (ISSP 2002),,,logs\query_21_NO_WEB.json,,0.0,False,0
21,V1_TOPIC,NO_WEB,6,International Social Survey Programme: Family and Changing Gender Roles II (ISSP 1994),,,logs\query_21_NO_WEB.json,,0.0,False,0
21,V1_TOPIC,NO_WEB,7,German General Social Survey (ALLBUS) 2018,,,logs\query_21_NO_WEB.json,ZA5273,0.88,False,1
21,V1_TOPIC,NO_WEB,8,European Values Study 2017 Integrated Dataset,,,logs\query_21_NO_WEB.json,,0.0,False,0
21,V1_TOPIC,NO_WEB,9,German Family Panel (pairfam),,,logs\query_21_NO_WEB.json,,0.0,False,0
21,V1_TOPIC,NO_WEB,10,Eurobarometer 72.3: Sport and Physical Activity,,,logs\query_21_NO_WEB.json,,0.0,False,0
22,V1_TOPIC,NO_WEB,1,ISSP 1985: Role of Government I,,,logs\query_22_NO_WEB.json,,0.0,False,0
22,V1_TOPIC,NO_WEB,2,ISSP 1990: Role of Government II,,,logs\query_22_NO_WEB.json,,0.0,False,0
22,V1_TOPIC,NO_WEB,3,ISSP 1996: Role of Government III,,,logs\query_22_NO_WEB.json,,0.0,False,0
22,V1_TOPIC,NO_WEB,4,ISSP 2006: Role of Government IV,,,logs\query_22_NO_WEB.json,,0.0,False,0
22,V1_TOPIC,NO_WEB,5,ISSP 2016: Role of Government V,,,logs\query_22_NO_WEB.json,,0.0,False,0
22,V1_TOPIC,NO_WEB,6,ISSP 2020: Role of Government VI,,,logs\query_22_NO_WEB.json,,0.0,False,0
29,V1_TOPIC,NO_WEB,1,International Social Survey Programme: Work Orientations I - 1989,,,logs\query_29_NO_WEB.json,ZA5520,0.943089430894309,False,0
29,V1_TOPIC,NO_WEB,2,International Social Survey Programme: Work Orientations II - 1997,,,logs\query_29_NO_WEB.json,ZA5520,0.9354838709677419,False,0
29,V1_TOPIC,NO_WEB,3,International Social Survey Programme: Work Orientations III - 2005,,,logs\query_29_NO_WEB.json,ZA5520,0.9279999999999999,False,0
29,V1_TOPIC,NO_WEB,4,International Social Survey Programme: Work Orientations IV - 2015,,,logs\query_29_NO_WEB.json,ZA5520,1.0,False,0
29,V1_TOPIC,NO_WEB,5,New Democracies Barometer I (1991),,,logs\query_29_NO_WEB.json,,0.0,False,0
29,V1_TOPIC,NO_WEB,6,New Democracies Barometer II (1992),,,logs\query_29_NO_WEB.json,,0.0,False,0
29,V1_TOPIC,NO_WEB,7,New Democracies Barometer III (1993),,,logs\query_29_NO_WEB.json,,0.0,False,0
29,V1_TOPIC,NO_WEB,8,New Democracies Barometer IV (1995),,,logs\query_29_NO_WEB.json,,0.0,False,0
29,V1_TOPIC,NO_WEB,9,New Democracies Barometer V (1998),,,logs\query_29_NO_WEB.json,,0.0,False,0
29,V1_TOPIC,NO_WEB,10,European Values Study 2017 (EVS),,,logs\query_29_NO_WEB.json,ZA3777,0.7924528301886792,False,1
30,V1_TOPIC,NO_WEB,1,Special Eurobarometer 460: Attitudes towards the impact of digitisation and automation on daily life,,,logs\query_30_NO_WEB.json,,0.0,False,0
