query_id,query_variant,mode,model,hit_at_k,precision_at_k,recall_at_k,mrr,ndcg_at_k,link_valid_rate,off_repo_rate
1,V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,NO_WEB,gemma3:27b,0,0.0,0.0,0.0,0.0,0.0,0.0
1,V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,NO_WEB,gpt-4.1,0,0.0,0.0,0.0,0.0,1.0,0.0
1,V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,NO_WEB,llama4:latest,0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333
1,V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,NO_WEB,o4-mini,0,0.0,0.0,0.0,0.0,0.0,0.5
1,V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,NO_WEB,gpt-5,0,0.0,0.0,0.0,0.0,0.0,0.0
1,V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,NO_WEB,gpt-5.1,0,0.0,0.0,0.0,0.0,0.0,0.0
1,V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,WEB_SEARCH,gemma3:27b,0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111
1,V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,WEB_SEARCH,gpt-4.1,0,0.0,0.0,0.0,0.0,1.0,0.0
1,V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,WEB_SEARCH,llama4:latest,0,0.0,0.0,0.0,0.0,0.0,0.0
1,V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,WEB_SEARCH,gpt-5-mini,0,0.0,0.0,0.0,0.0,0.3333333333333333,0.1111111111111111
1,V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,WEB_SEARCH,gpt-5.1,0,0.0,0.0,0.0,0.0,0.6,0.0
2,V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,NO_WEB,gemma3:27b,0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714
2,V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,NO_WEB,gpt-4.1,1,0.1,1.0,0.1111111111111111,0.3010299956639812,0.7,0.1
2,V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,NO_WEB,llama4:latest,0,0.0,0.0,0.0,0.0,0.0,0.0
2,V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,NO_WEB,o4-mini,0,0.0,0.0,0.0,0.0,0.0,0.0
2,V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,NO_WEB,gpt-5,0,0.0,0.0,0.0,0.0,0.0,0.0
2,V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,NO_WEB,gpt-5.1,0,0.0,0.0,0.0,0.0,0.6,0.1
2,V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,NO_WEB,gpt-oss:latest,0,0.0,0.0,0.0,0.0,0.0,0.125
2,V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,WEB_SEARCH,gemma3:27b,0,0.0,0.0,0.0,0.0,0.0,0.75
2,V2_TOPIC_COUNTRY_TIME_SINGLE_TOPIC,WEB_SEARCH,gpt-4.1,0,0.0,0.0,0.0,0.0,0.9,0.0
